,canal,capturas_tarjetas,aprobacion_tarjetas,tarjetas,capturas_creditos,aprobacion_creditos,cantidad_creditos,monto_creditos,seguros,trafico_transaccional,trafico_clientes,aprovechamiento_de_trafico,contribucion,cluster
18,305022,832.0,0.23859,176.5,303.0,0.03109,23.0,80.69568,200.5,148729.75,85089.75,0.01305,2590.10651,2
19,305023,416.5,0.18089,71.0,185.5,0.0172,6.75,19.27108,81.0,156162.75,94451.0,0.00624,240.1794,0
20,305024,331.5,0.21105,64.0,123.75,0.04122,12.5,31.63356,97.75,125467.0,77996.0,0.00572,796.23515,0
21,305025,622.5,0.27406,154.5,168.75,0.04656,26.25,80.42058,169.0,57203.0,34260.0,0.02252,1641.56993,2
22,305026,319.5,0.14037,42.25,76.25,0.02658,8.0,18.77499,45.75,43005.75,27227.0,0.01491,807.06394,0
23,305027,725.25,0.1831,123.0,209.5,0.03201,21.5,57.91697,128.25,74207.25,46813.25,0.01969,1076.28608,2
24,305028,970.75,0.24122,211.25,302.75,0.04539,39.75,91.8712,132.75,93839.75,54315.0,0.02299,1414.69526,2
25,305029,365.0,0.20866,72.25,148.25,0.02527,8.75,23.61148,47.5,56146.5,36054.0,0.01392,388.35522,0
26,305030,401.5,0.28073,104.5,117.0,0.04164,15.5,34.73385,54.25,32591.0,19258.5,0.0264,1025.27874,0
27,305031,177.75,0.26027,42.75,50.75,0.02892,4.75,9.44293,15.5,44516.25,28094.75,0.00788,829.7709,0
28,305032,612.0,0.13409,77.0,167.0,0.02046,11.75,36.29354,114.5,71886.25,49092.5,0.01567,1287.71151,0
29,305033,162.5,0.35094,51.5,43.5,0.03578,5.25,10.31158,25.75,77349.25,54007.5,0.0037,666.17377,0
30,305034,88.5,0.27885,21.75,26.5,0.00641,0.5,1.29746,9.5,119381.5,80712.75,0.00137,482.67357,0
31,305035,285.75,0.20299,51.0,83.5,0.02786,7.0,22.25272,61.0,91798.25,46009.5,0.00786,707.16174,0
32,305036,574.25,0.33811,182.75,131.25,0.04163,22.5,61.46751,121.75,95012.25,59326.0,0.01147,1084.29172,2
33,305037,261.5,0.26827,61.5,109.0,0.07525,17.25,48.13822,68.0,47327.75,29643.0,0.0122,735.87102,0
34,305038,897.75,0.07447,64.75,433.0,0.02099,18.25,48.84851,124.5,69021.0,38548.0,0.03417,195.04879,2
35,305039,616.5,0.13014,72.75,279.5,0.03846,21.5,49.07937,213.5,66587.5,41035.75,0.02158,907.77586,2
36,305040,232.0,0.20495,43.5,92.25,0.02827,6.0,12.80698,32.75,62088.25,41693.75,0.00767,720.88135,0
37,305041,797.0,0.26563,196.5,202.75,0.03582,26.5,65.015,109.25,62802.0,42072.75,0.02329,1035.38424,2
38,305043,347.5,0.12338,40.5,160.5,0.02742,9.0,15.7257,37.0,25430.5,12359.0,0.04058,569.12087,0
